year,state,population,registered,voted,norm_voter_reg,norm_voter_pop
2016,AZ,5196,3145,2769,0.8804451510333863,0.5329099307159353
2016,AR,2216,1456,1241,0.8523351648351648,0.5600180505415162
2016,CA,29894,16096,14416,0.8956262425447317,0.48223723824178766
2016,CO,4242,2893,2707,0.9357068786726581,0.6381423856671381
2016,CT,2759,1763,1586,0.8996029495178672,0.5748459586806814
2016,DE,729,487,417,0.8562628336755647,0.5720164609053497
2016,DC,553,420,380,0.9047619047619048,0.6871609403254972
2016,FL,16202,9604,8578,0.8931695127030403,0.5294408097765708
2016,GA,7626,4892,4246,0.8679476696647588,0.5567794387621295
2016,HI,1064,530,460,0.8679245283018868,0.4323308270676692
2016,ID,1224,790,714,0.9037974683544304,0.5833333333333334
2016,IL,9723,6665,5719,0.8580645161290322,0.5881929445644348
2016,IN,4988,3298,2795,0.8474833232261977,0.5603448275862069
2016,IA,2394,1657,1454,0.8774894387447194,0.6073517126148705
2016,KS,2142,1438,1243,0.8643949930458971,0.5802987861811392
2016,KY,3348,2253,1850,0.821127385707945,0.5525686977299881
2016,LA,3463,2446,2067,0.8450531479967294,0.5968813167773607
2016,ME,1058,830,754,0.908433734939759,0.7126654064272212
2016,MD,4623,3114,2737,0.8789338471419397,0.5920398009950248
2016,MA,5374,3660,3315,0.9057377049180327,0.616858950502419
2016,MI,7624,5434,4713,0.8673168936326832,0.6181794333683106
2016,MN,4190,3055,2738,0.8962356792144026,0.6534606205250597
2016,MS,2203,1725,1470,0.8521739130434782,0.6672719019518838
2016,MO,4626,3333,2906,0.8718871887188719,0.6281884997838305
2016,MT,798,581,521,0.8967297762478486,0.6528822055137845
2016,NE,1407,1008,893,0.8859126984126984,0.6346837242359631
2016,NV,2234,1371,1195,0.8716265499635303,0.5349149507609668
2016,NH,1044,763,698,0.9148099606815203,0.6685823754789272
2016,NJ,6862,4165,3665,0.879951980792317,0.5341008452346254
2016,NM,1547,916,765,0.8351528384279476,0.4945054945054945
2016,NY,15506,9142,7869,0.8607525705534894,0.5074809751064104
2016,NC,7631,5194,4700,0.9048902579899885,0.6159087930808544
2016,ND,583,424,362,0.8537735849056604,0.6209262435677531
2016,OH,8811,6128,5408,0.8825065274151436,0.6137782317557599
2016,OK,2923,1861,1555,0.8355722729715207,0.531987683886418
2016,OR,3185,2147,1942,0.9045179319981369,0.6097331240188383
2016,PA,9980,6909,6008,0.8695903893472282,0.602004008016032
2016,RI,836,538,464,0.862453531598513,0.5550239234449761
2016,SC,3733,2575,2233,0.8671844660194175,0.5981784087864987
2016,SD,631,437,362,0.8283752860411899,0.5736925515055468
2016,TN,5057,3251,2630,0.8089818517379268,0.5200711884516511
2016,TX,20172,11724,9626,0.821050835892187,0.4771961134245489
2016,UT,2096,1398,1234,0.882689556509299,0.5887404580152672
2016,VT,500,351,305,0.8689458689458689,0.61
2016,VA,6343,4399,3973,0.9031598090475108,0.6263597666719218
2016,WA,5592,3906,3382,0.8658474142345111,0.6047925608011445
2016,WV,1434,913,723,0.791894852135816,0.50418410041841
2016,WI,4465,3323,3068,0.9232621125489016,0.6871220604703248
2016,WY,436,304,277,0.9111842105263158,0.6353211009174312
2016,US,245502,157596,137537,0.8727188507322521,0.5602276152536435
2014,AL,3656,2366,1497,0.6327134404057481,0.4094638949671772
2014,AK,521,336,255,0.7589285714285714,0.4894433781190019
2014,AZ,4994,2738,1785,0.6519357195032871,0.35742891469763716
2014,AR,2189,1292,798,0.6176470588235294,0.36455002284148014
2014,CA,29030,14113,8949,0.6340962233401828,0.3082673096796418
2014,CO,4009,2654,2211,0.8330821401657875,0.5515091045148416
2014,CT,2783,1668,1195,0.7164268585131894,0.42939274164570607
2014,DE,712,442,299,0.6764705882352942,0.4199438202247191
2014,DC,538,353,247,0.6997167138810199,0.4591078066914498
2014,FL,15414,8691,6220,0.7156828903463353,0.4035292591150902
2014,GA,7306,4306,2919,0.6778913144449605,0.3995346290719956
2014,HI,1035,490,399,0.8142857142857143,0.3855072463768116
2014,ID,1182,671,462,0.6885245901639344,0.39086294416243655
2014,IL,9757,5716,3734,0.6532540237928621,0.3826996002869735
2014,IN,4913,3048,1646,0.5400262467191601,0.335029513535518
2014,IA,2336,1584,1203,0.759469696969697,0.5149828767123288
2014,KS,2125,1353,962,0.7110125646711013,0.4527058823529412
2014,KY,3323,2298,1525,0.6636205395996518,0.458922660246765
2014,LA,3450,2398,1677,0.6993327773144287,0.4860869565217391
2014,ME,1061,799,642,0.8035043804755945,0.6050895381715363
2014,MD,4542,2995,2028,0.6771285475792989,0.4464993394980185
2014,MA,5279,3250,2259,0.695076923076923,0.42792195491570373
2014,MI,7576,5159,3416,0.6621438263229308,0.4508975712777191
2014,MN,4104,2822,2047,0.72537207654146,0.4987816764132554
2014,MS,2182,1628,907,0.5571253071253072,0.4156736938588451
2014,MO,4505,3194,1713,0.5363180964308077,0.3802441731409545
2014,MT,788,506,391,0.7727272727272727,0.49619289340101524
2014,NE,1400,873,579,0.6632302405498282,0.4135714285714286
2014,NV,2128,1088,693,0.6369485294117647,0.3256578947368421
2014,NH,1047,694,509,0.7334293948126801,0.48615090735434574
2014,NJ,6820,3919,2151,0.5488645062515948,0.31539589442815247
2014,NM,1536,919,646,0.7029379760609358,0.4205729166666667
2014,NY,15274,8078,4680,0.5793513245852934,0.3064030378420846
2014,NC,7412,4779,3170,0.6633186859175559,0.4276848354020507
2014,ND,567,363,279,0.768595041322314,0.49206349206349204
2014,OH,8772,5657,3378,0.5971362913204878,0.3850889192886457
2014,OK,2851,1644,920,0.559610705596107,0.3226937916520519
2014,OR,3078,2008,1594,0.7938247011952191,0.5178687459389214
2014,PA,9924,6121,3803,0.6213037085443555,0.3832124143490528
2014,RI,819,486,331,0.6810699588477366,0.40415140415140416
2014,SC,3667,2458,1514,0.6159479251423922,0.4128715571311699
2014,SD,625,401,273,0.6807980049875312,0.4368
2014,TN,4975,3088,1763,0.570919689119171,0.3543718592964824
2014,TX,19354,9946,5836,0.586768550170923,0.3015397333884468
2014,UT,2026,1101,703,0.6385104450499546,0.34698914116485685
2014,VT,493,324,205,0.6327160493827161,0.4158215010141988
2014,VA,6221,3924,2453,0.6251274209989807,0.3943095965278894
2014,WA,5333,3281,2390,0.7284364523011277,0.44815300956309767
2014,WV,1449,896,484,0.5401785714285714,0.33402346445824704
2014,WI,4356,3005,2343,0.7797004991680533,0.5378787878787878
2014,WY,441,241,172,0.7136929460580913,0.3900226757369615
2014,US,239874,142166,92251,0.6488963605925467,0.38458107172932454
2012,AL,3594,2556,2154,0.8427230046948356,0.5993322203672788
2012,AK,516,361,289,0.8005540166204986,0.560077519379845
2012,AZ,4863,2812,2412,0.8577524893314367,0.4959901295496607
2012,AR,2198,1376,1124,0.8168604651162791,0.5113739763421292
2012,CA,28357,15356,13462,0.8766605886949727,0.4747328701907818
2012,CO,3817,2635,2495,0.9468690702087287,0.6536547026460571
2012,CT,2726,1760,1568,0.8909090909090909,0.5752017608217168
2012,DE,693,470,431,0.9170212765957447,0.6219336219336219
2012,DC,517,385,350,0.9090909090909091,0.6769825918762089
2012,FL,15034,9102,8107,0.8906833662931224,0.5392443794066782
2012,GA,7179,4767,4168,0.8743444514369625,0.5805822537957933
2012,HI,1013,547,480,0.8775137111517367,0.4738400789733465
2012,ID,1129,745,679,0.9114093959731544,0.6014171833480957
2012,IL,9651,6425,5428,0.8448249027237354,0.5624287638586675
2012,IN,4852,3270,2801,0.8565749235474006,0.5772877164056059
2012,IA,2320,1745,1548,0.8871060171919771,0.6672413793103448
2012,KS,2120,1467,1249,0.8513974096796183,0.5891509433962264
2012,KY,3291,2303,1895,0.8228397742075554,0.5758128228501975
2012,LA,3321,2498,2148,0.8598879103282626,0.6467931345980127
2012,ME,1042,787,700,0.8894536213468869,0.6717850287907869
2012,MD,4449,2888,2609,0.903393351800554,0.5864239154866262
2012,MA,5170,3759,3382,0.899707368981112,0.6541586073500967
2012,MI,7496,5620,4832,0.8597864768683274,0.6446104589114194
2012,MN,4055,3085,2859,0.926742301458671,0.705055487053021
2012,MS,2166,1794,1588,0.8851727982162765,0.7331486611265005
2012,MO,4521,3384,2818,0.83274231678487,0.6233134262331342
2012,MT,768,553,495,0.895117540687161,0.64453125
2012,NE,1371,901,798,0.8856825749167592,0.5820568927789934
2012,NV,2039,1176,1048,0.891156462585034,0.5139774399215301
2012,NH,1028,752,688,0.9148936170212766,0.669260700389105
2012,NJ,6730,4326,3670,0.8483587609801202,0.5453194650817236
2012,NM,1553,978,878,0.8977505112474438,0.5653573728267869
2012,NY,15066,8887,7675,0.8636210194666366,0.5094251958051241
2012,NC,7265,5295,4624,0.8732766761095373,0.6364762560220234
2012,ND,528,383,328,0.856396866840731,0.6212121212121212
2012,OH,8750,6076,5395,0.8879196840026333,0.6165714285714285
2012,OK,2808,1806,1431,0.792358803986711,0.5096153846153846
2012,OR,2998,2086,1897,0.9093959731543624,0.632755170113409
2012,PA,9847,6795,5824,0.8571008094186903,0.5914491723367523
