year,state,office,party,norm_vote_count
2018,IA,House,REP,0.09233082026537998
2018,KY,House,REP,0.06525073252406864
2018,KY,House,DEM,0.0427638481931073
2018,LA,House,REP,0.061549197230814555
2018,LA,House,DEM,0.020370599499189866
2018,ME,House,DEM,0.20121256038647342
2018,ME,House,REP,0.14817149758454107
2018,MD,House,REP,0.029802342487883684
2018,MD,House,DEM,0.06030076736672051
2018,MA,House,DEM,0.06456060455073907
2018,MA,House,REP,0.029772974588938718
2018,MI,House,REP,0.026145932373146753
2018,MI,House,DEM,0.028661079528088513
2018,MN,House,REP,0.046897208333333336
2018,MS,House,REP,0.09822013758599124
2018,MS,House,DEM,0.06234677923702314
2018,MO,House,DEM,0.03895002273416187
2018,MO,House,REP,0.050431001818732946
2018,MT,House,REP,0.4432832469775475
2018,MT,House,DEM,0.4029084628670121
2018,NE,House,REP,0.1631094752736882
2018,NE,House,DEM,0.09984635711589279
2018,NV,House,DEM,0.09617697729052467
2018,NV,House,REP,0.08608594361785435
2018,NH,House,DEM,0.21435399449035814
2018,NH,House,REP,0.17147796143250688
2018,NJ,House,DEM,0.03600998758823986
2018,NJ,House,REP,0.02324614071833062
2018,NM,House,DEM,0.1470254730713246
2018,NM,House,REP,0.09632496360989812
2018,NY,House,REP,0.008984611358866006
2018,NY,House,DEM,0.016283188020911627
2018,NC,House,DEM,0.028602406330749355
2018,NC,House,REP,0.027519991055456175
2018,ND,House,REP,0.4875768261964736
2018,OH,House,REP,0.023665590976575387
2018,OH,House,DEM,0.02149511299901023
2018,OK,House,REP,0.08222070906021385
2018,OK,House,DEM,0.048221947101857066
2018,OR,House,REP,0.06947082966871886
2018,OR,House,DEM,0.12269964819700968
2018,PA,House,REP,0.020245193676725438
2018,PA,House,DEM,0.02331338692224455
2018,RI,House,DEM,0.227984022556391
2018,RI,House,REP,0.12202819548872179
2018,SC,House,DEM,0.04458201058201058
2018,SC,House,REP,0.054526396237507345
2018,SD,House,REP,0.47248251748251746
